Cocunut,Mortgage_YN,AGE_AT_ORIGINATION,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
1,Y,50,52,13,M,HGH,PVE,M,909,5013077,1979-04-18,2010-01-01,2004-03-16
9,Y,48,49,11,M,HGH,SFE,M,288,4615385,1999-12-16,2004-01-20,2005-11-07
11,Y,53,55,14,M,BCR,STE,M,1280,528692,2005-06-28,1990-09-01,2003-06-25
12,Y,64,66,10,M,BCR,OTH,F,620,9597692,2000-12-22,9999-10-01,2006-12-21
18,Y,46,47,9,S,MAS,PVE,F,2239,853846,2009-08-01,2013-12-24,2007-08-07
19,Y,34,35,10,*noval*,BCR,STE,F,1016,4308,9999-10-01,2006-08-01,2006-08-02
21,Y,51,53,10,M,HGH,STE,F,458,6092308,1992-12-31,1984-12-13,2006-10-27
24,Y,56,58,10,M,HGH,PVE,F,615,3846154,1998-03-31,2005-09-20,2007-06-27
29,Y,46,47,14,M,BCR,PVE,M,744,76154,2007-09-01,2010-04-08,2002-11-16
33,Y,45,46,12,M,HGH,PVE,M,473,818,2007-11-27,1991-10-01,2004-11-24
34,Y,38,40,9,S,HGH,PVE,F,538,6294615,2007-10-17,2006-06-12,2008-01-29
35,Y,48,50,11,M,HGH,STE,M,402,4476923,1997-09-01,1992-07-01,2006-04-28
37,Y,56,57,14,D,HGH,PVE,F,626,3546923,2005-05-30,2002-11-18,2002-11-27
43,Y,36,39,12,M,BCR,PVE,M,932,7886923,2009-09-01,2004-08-01,2004-08-19
45,Y,39,41,11,M,BCR,PVE,F,872,7253846,2009-06-20,2005-08-01,2005-08-01
47,Y,42,43,12,M,BCR,PVE,M,7504,292308,1999-02-01,2008-06-27,2005-02-25
52,Y,50,51,13,*noval*,BCR,PVE,M,808,4407692,9999-10-01,2009-09-01,2004-04-21
55,Y,42,43,11,S,BCR,STE,F,630,923077,2011-12-01,2005-07-01,2006-03-29
61,Y,50,52,13,M,HGH,PVE,M,1613,830769,2013-09-14,2003-10-27,2004-01-13
63,Y,36,37,12,D,BCR,PVE,M,1269,230769,1985-01-01,2013-11-25,2004-11-02
65,Y,33,34,9,M,BCR,PVE,F,614,856,2012-10-01,2011-01-01,2007-09-10
70,Y,36,37,12,M,BCR,PVE,F,789,7998462,2004-06-01,2004-11-01,2004-11-18
78,Y,36,36,15,M,BCR,PVE,M,753,1601538,2013-08-01,2005-11-01,2002-01-11
81,Y,39,40,12,S,BCR,PVE,M,1953,8,1982-10-01,2008-08-15,2005-02-23
86,Y,45,47,12,M,HGH,PVE,M,300,4061538,1970-11-17,2012-01-20,2004-08-27
89,Y,41,42,3,M,HGH,PVE,M,253,8461538,2007-05-01,2006-06-01,2014-05-21
91,Y,31,33,10,S,BCR,PVE,F,825,5689231,2014-09-22,2007-06-11,2007-06-12
95,Y,46,47,12,M,BCR,STE,F,1337,515385,2014-09-29,2010-01-01,2005-02-07
100,Y,36,39,13,S,HGH,SFE,M,461,5384615,2001-10-01,2004-07-04,2003-11-11
101,Y,33,35,4,M,BCR,STE,M,557,4923077,2014-01-01,2015-01-01,2013-06-26
107,Y,35,37,14,M,HGH,SFE,M,917,9615385,2009-07-25,2012-08-01,2003-03-25
112,Y,53,55,3,W,BCR,PVE,F,1206,7692,1992-02-10,2009-11-02,2013-11-26
113,Y,29,31,9,M,HGH,PVE,M,332,1391538,2014-08-02,2012-04-18,2008-04-22
114,Y,59,61,15,M,BCR,PVE,M,1116,528154,2012-09-15,2012-07-01,2002-02-04
117,Y,46,48,6,D,BCR,STE,M,660,8538462,1969-03-30,1991-01-01,2011-01-21
118,Y,58,61,12,M,HGH,STE,F,309,8846154,1992-05-01,1978-08-07,2004-10-29
125,Y,56,58,15,M,HGH,PVE,M,7180,962385,2012-11-01,2011-11-01,2002-04-02
128,Y,36,38,4,S,BCR,STE,F,314,9866923,2014-11-11,2013-03-30,2012-08-16
131,Y,28,30,3,S,MAS,PVE,M,366,5384615,2009-09-01,2013-09-28,2013-10-23
132,Y,28,31,11,M,HGH,PVE,M,596,9846154,1986-11-13,2007-01-22,2006-02-07
133,Y,39,42,9,M,BCR,PVE,M,1872,1,2008-11-01,2012-11-01,2007-11-07
137,Y,39,42,12,M,HGH,PVE,F,546,9762308,1998-04-25,2007-07-14,2005-06-24
140,Y,35,37,12,D,BCR,PVE,M,1388,492308,2012-02-01,2011-07-01,2005-03-29
141,Y,36,38,2,M,HGH,PVE,M,207,6923077,2005-09-10,2007-03-01,2014-09-08
146,Y,30,32,3,M,HGH,STE,F,241,461538,2011-01-01,2013-09-02,2013-11-11
157,Y,58,60,13,M,BCR,STE,M,625,4153846,1957-03-05,1980-06-05,2004-03-18
158,Y,29,31,2,S,MAS,PVE,F,357,4139231,2010-11-20,2010-12-01,2015-01-22
160,Y,45,47,11,M,SEC,PVE,M,683,5412308,2010-05-01,2006-04-18,2006-05-23
163,Y,37,38,11,M,HGH,PVE,M,425,1281538,2010-10-01,2011-05-01,2006-05-25
165,Y,52,55,8,M,PHD,STE,M,833,8076923,1994-04-01,2013-02-25,2009-06-08
166,Y,43,45,15,M,PHD,STE,M,999,10769,2000-06-01,2014-06-02,2002-01-08
175,Y,28,30,2,S,HGH,PVE,M,401,3,2005-01-01,2008-05-12,2015-02-13
176,Y,39,41,8,M,BCR,PVE,M,287,7407692,2013-11-01,2004-07-01,2008-07-16
180,Y,51,53,4,W,BCR,STE,F,324,808,2013-12-21,1993-08-01,2013-06-15
182,Y,40,42,13,M,MAS,PVE,M,2033,923077,2007-05-01,2012-12-01,2004-05-26
183,Y,45,48,13,S,BCR,STE,F,347,1484615,2014-01-01,2006-09-01,2003-11-18
184,Y,43,45,13,W,BCR,STE,F,320,6411538,2015-02-15,2004-11-02,2004-06-22
188,Y,56,58,2,M,HGH,RET,F,268,8047692,1980-01-01,9999-10-01,2015-02-10
189,Y,49,51,15,S,BCR,PVE,F,1469,823077,2013-01-01,2006-06-19,2002-03-13
192,Y,32,34,2,M,PHD,PVE,M,692,4692308,2014-07-08,2007-02-12,2015-03-09
208,Y,22,24,2,S,SEC,PVE,M,381,196154,2014-10-01,2014-06-28,2015-03-10
210,Y,34,36,11,S,HGH,PVE,F,276,4923077,1981-03-09,2006-10-01,2006-02-24
211,Y,29,31,2,M,BCR,PVE,F,441,923077,2001-01-01,2012-04-01,2014-11-20
216,Y,37,39,9,S,BCR,PVE,M,699,4615385,1986-09-10,2011-11-14,2008-05-19
